                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1323,                 0.6932,                 1.1727,                 0.9984,                      1,                  0.995,                0.72288,                 1.0347,                0.48058,                  1.194,              0.0014954,              0.0014954,              0.0014954
                     55,                 1.1532,                0.72264,                 1.1778,                0.99878,                      1,                  0.995,                 0.7247,                 1.0543,                0.49219,                 1.2003,              0.0014921,              0.0014921,              0.0014921
                     56,                 1.0883,                0.65681,                 1.1605,                0.99871,                      1,                  0.995,                0.71988,                 1.0201,                0.48378,                 1.1891,              0.0014888,              0.0014888,              0.0014888
                     57,                  1.098,                  0.677,                 1.1596,                0.99807,                      1,                  0.995,                0.71904,                 1.0057,                0.47213,                  1.185,              0.0014855,              0.0014855,              0.0014855
                     58,                 1.0931,                0.66701,                 1.1709,                0.99853,                      1,                  0.995,                0.72078,                0.99004,                0.48515,                 1.1706,              0.0014822,              0.0014822,              0.0014822
                     59,                 1.0825,                0.66434,                 1.1556,                 0.9983,                      1,                  0.995,                 0.7134,                  1.044,                0.47434,                 1.1987,              0.0014789,              0.0014789,              0.0014789
                     60,                 1.1119,                0.71276,                 1.1874,                0.99813,                      1,                  0.995,                0.72983,                 1.0192,                0.48598,                 1.1871,              0.0014756,              0.0014756,              0.0014756
                     61,                 1.1387,                 0.6703,                 1.1991,                0.99466,                0.98273,                  0.995,                0.73116,                  0.993,                0.48183,                 1.1742,              0.0014723,              0.0014723,              0.0014723
                     62,                 1.1056,                0.69182,                 1.1442,                  0.999,                      1,                  0.995,                0.70868,                  1.068,                0.47689,                 1.2036,               0.001469,               0.001469,               0.001469
                     63,                 1.1022,                0.66312,                 1.1785,                0.99835,                      1,                  0.995,                0.73083,                 1.0035,                0.46998,                 1.1697,              0.0014657,              0.0014657,              0.0014657
                     64,                 1.0494,                 0.6507,                 1.1702,                0.99815,                      1,                  0.995,                0.73246,                 1.0073,                0.46855,                  1.183,              0.0014624,              0.0014624,              0.0014624
                     65,                 1.0784,                 0.6739,                 1.1711,                0.99809,                      1,                  0.995,                0.73944,                0.92602,                0.49723,                 1.1485,              0.0014591,              0.0014591,              0.0014591
                     66,                 1.0485,                0.63612,                 1.1387,                 0.9973,                      1,                  0.995,                0.72675,                0.98645,                0.50834,                 1.1758,              0.0014558,              0.0014558,              0.0014558
                     67,                 1.1066,                0.68264,                 1.1893,                0.99832,                      1,                  0.995,                0.67631,                  1.107,                0.50211,                 1.2323,              0.0014525,              0.0014525,              0.0014525
                     68,                 1.1547,                0.66372,                 1.1974,                0.99721,                      1,                  0.995,                0.73173,                0.96536,                 0.4691,                 1.1584,              0.0014492,              0.0014492,              0.0014492
                     69,                  1.067,                0.63522,                 1.1788,                0.99753,                      1,                  0.995,                0.74274,                0.93823,                0.45745,                 1.1493,              0.0014459,              0.0014459,              0.0014459
